X,Y,OBJECTID,name_e,nom_f,Label_e,Etiquette_f,min_scale_echelle,max_scale_echelle,url_e,url_f,Facility_Type_Installation,Public_Access,Accessible
-117.682185149196002,53.096705168280145,164777,Fiddle,Fiddle,Fiddle,Fiddle,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.155494853708632,53.135315224244152,164778,Vine Creek,Ruisseau Vine,Vine Creek,Ruisseau Vine,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.009485781457968,53.146123623386707,164779,Devona,Devona,Devona,Devona,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-119.10996029974828,53.184150385120134,164780,Adolphus,Adolphus,Adolphus,Adolphus,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-117.947655610102885,53.225053379781016,164781,Miette,Miette,Miette,Miette,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.205604256048645,53.237046313123038,164782,Shalebanks,Shalebanks,Shalebanks,Shalebanks,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.883750769236926,53.253177970483158,164783,Hoodoo,Hoodoo,Hoodoo,Hoodoo,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-119.248573744650898,53.28359007474883,164784,Wolverine,Wolverine,Wolverine,Wolverine,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.769018912039499,53.29876340447067,164785,Three Slides,Three Slides,Three Slides,Three Slides,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.070390819049621,53.312716024698879,164786,Moosehorn,Moosehorn,Moosehorn,Moosehorn,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.621884883495213,53.328361636304273,164787,Blue Creek,Ruisseau Blue,Blue Creek,Ruisseau Blue,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.495510351087503,53.340758596817224,164788,Welbourne,Welbourne,Welbourne,Welbourne,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.244832335745713,53.370677624994087,164789,Wolf Pass,Col Wolf,Wolf Pass,Col Wolf,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-119.02461834893694,53.36346606001414,164790,Byng,Byng,Byng,Byng,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-119.251401608535986,53.366990442481537,164791,Lower Smoky,Rivière Smoky inférieure,Lower Smoky,Rivière Smoky inférieure,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.347021662387149,53.385245901950761,164792,Willow Creek,Ruisseau Willow,Willow Creek,Ruisseau Willow,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.794321109841547,53.388574776613481,164793,Topaz,Topaz,Topaz,Topaz,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.555050859035347,53.395167973780133,164794,Little Heaven,Little Heaven,Little Heaven,Little Heaven,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-119.121484652018552,53.399993206455854,164795,Twintree,Twintree,Twintree,Twintree,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.903014096302016,53.422148895431789,164796,Caribou Inn,Caribou Inn,Caribou Inn,Caribou Inn,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.529524489839346,53.431133037286706,164797,Starlight,Starlight,Starlight,Starlight,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.707352546481076,53.429451221726197,164798,Vega,Vega,Vega,Vega,,,,,Warden/Partol Cabin//Chalet de gardes/Patrouille,Yes//Oui,No//Non
-118.071490283209556,52.839255830530313,164799,Marmot Meadows Group Campground,,Marmot Meadows Group Campground,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,No//Non
-118.079611702301307,52.872086121744985,164800,Industrial Compound Recycling Drop-Off,,Industrial Compound Recycling Drop-Off,,,,,,Garbage / Recycling Drop-Off Facility//Dépôt pour déchets et recyclage,Yes//Oui,Yes//Oui
-118.086707315814181,52.879409308263135,164801,Jasper Townsite Recycling Drop-Off,,Jasper Townsite Recycling Drop-Off,,,,,,Garbage / Recycling Drop-Off Facility//Dépôt pour déchets et recyclage,Yes//Oui,Yes//Oui
-118.016918458165321,52.921557906976112,164802,5th Bridge,,5th Bridge,,,,,,Bridge//pont,Yes//Oui,Yes//Oui
-117.805648035943818,52.869743858274056,164803,Going to the Sea,,Going to the Sea,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,No//Non
-117.77261568263836,53.13005100590069,164804,Miette Hotsprings Day Use Outhouse,,Miette Hotsprings Day Use Outhouse,,,,,,Washroom Facility//Toilettes,Yes//Oui,No//Non
-118.39336393229641,52.882633113884928,164805,West Gate,,West Gate,,,,,,,No//Non,No//Non
-117.837442497460259,53.221591454563544,164806,East Gate,,East Gate,,,,,,,No//Non,No//Non
-118.052666513614483,52.818532786105258,164807,South Gate,,South Gate,,,,,,,No//Non,No//Non
-116.012936898415575,50.81441073661972,164808,Crooks Meadows Group Camp,Camping de groupe des Prés-Crooks,Crooks Meadows Group Camp,Camping de groupe des Prés-Crooks,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
