"REF_DATE","GEO","DGUID","Population characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Nova Scotia","2016A000212","Private dwelling density","Number per square kilometre","229","units ","0","v32163807","4.14","3.9","","","","1"
"1971","Nova Scotia","2016A000212","Population per private dwelling","Number","223","units ","0","v32163808","4.15","3.8","","","","1"
"1971","Nova Scotia","2016A000212","Population per urban private dwelling","Number","223","units ","0","v52150029","4.18","3.7","","","","1"
"1971","Nova Scotia","2016A000212","Population per rural private dwelling","Number","223","units ","0","v52150044","4.19","3.9","","","","1"
"1971","New Brunswick","2016A000213","Total population","Number","223","units ","0","v32163809","5.1","634565","","","","0"
"1971","New Brunswick","2016A000213","Urban population","Number","223","units ","0","v32163813","5.5","361150","","","","0"
"1971","New Brunswick","2016A000213","Rural population","Number","223","units ","0","v32163817","5.9","273415","","","","0"
"1971","New Brunswick","2016A000213","Total population density","Number per square kilometre","229","units ","0","v32163812","5.4","8.9","","","","1"
"1971","New Brunswick","2016A000213","Urban population as a share of total population","Percent","239","units ","0","v32163816","5.8","56.9","","","","1"
"1971","New Brunswick","2016A000213","Rural population as a share of total population","Percent","239","units ","0","v32163820","5.12","43.1","","","","1"
"1971","New Brunswick","2016A000213","Total private dwellings","Number","223","units ","0","v32163821","5.13","157654","","","","0"
"1971","New Brunswick","2016A000213","Urban private dwellings","Number","223","units ","0","v52150000","5.16","93861","","","","0"
"1971","New Brunswick","2016A000213","Rural private dwellings","Number","223","units ","0","v52150015","5.17","63793","","","","0"
"1971","New Brunswick","2016A000213","Private dwelling density","Number per square kilometre","229","units ","0","v32163822","5.14","2.2","","","","1"
"1971","New Brunswick","2016A000213","Population per private dwelling","Number","223","units ","0","v32163823","5.15","4.0","","","","1"
"1971","New Brunswick","2016A000213","Population per urban private dwelling","Number","223","units ","0","v52150030","5.18","3.8","","","","1"
"1971","New Brunswick","2016A000213","Population per rural private dwelling","Number","223","units ","0","v52150045","5.19","4.3","","","","1"
"1971","Quebec","2016A000224","Total population","Number","223","units ","0","v32163824","6.1","6027770","","","","0"
"1971","Quebec","2016A000224","Urban population","Number","223","units ","0","v32163828","6.5","4861245","","","","0"
"1971","Quebec","2016A000224","Rural population","Number","223","units ","0","v32163832","6.9","1166525","","","","0"
"1971","Quebec","2016A000224","Total population density","Number per square kilometre","229","units ","0","v32163827","6.4","4.4","","","","1"
"1971","Quebec","2016A000224","Urban population as a share of total population","Percent","239","units ","0","v32163831","6.8","80.6","","","","1"
"1971","Quebec","2016A000224","Rural population as a share of total population","Percent","239","units ","0","v32163835","6.12","19.4","","","","1"
"1971","Quebec","2016A000224","Total private dwellings","Number","223","units ","0","v32163836","6.13","1604837","","","","0"
"1971","Quebec","2016A000224","Urban private dwellings","Number","223","units ","0","v52150001","6.16","1345498","","","","0"
"1971","Quebec","2016A000224","Rural private dwellings","Number","223","units ","0","v52150016","6.17","259339","","","","0"
"1971","Quebec","2016A000224","Private dwelling density","Number per square kilometre","229","units ","0","v32163837","6.14","1.2","","","","1"
"1971","Quebec","2016A000224","Population per private dwelling","Number","223","units ","0","v32163838","6.15","3.8","","","","1"
"1971","Quebec","2016A000224","Population per urban private dwelling","Number","223","units ","0","v52150031","6.18","3.6","","","","1"
"1971","Quebec","2016A000224","Population per rural private dwelling","Number","223","units ","0","v52150046","6.19","4.5","","","","1"
"1971","Ontario","2016A000235","Total population","Number","223","units ","0","v32163839","7.1","7703110","","","","0"
"1971","Ontario","2016A000235","Urban population","Number","223","units ","0","v32163843","7.5","6343630","","","","0"
"1971","Ontario","2016A000235","Rural population","Number","223","units ","0","v32163847","7.9","1359480","","","","0"
"1971","Ontario","2016A000235","Total population density","Number per square kilometre","229","units ","0","v32163842","7.4","8.5","","","","1"
"1971","Ontario","2016A000235","Urban population as a share of total population","Percent","239","units ","0","v32163846","7.8","82.4","","","","1"
"1971","Ontario","2016A000235","Rural population as a share of total population","Percent","239","units ","0","v32163850","7.12","17.6","","","","1"
"1971","Ontario","2016A000235","Total private dwellings","Number","223","units ","0","v32163851","7.13","2225568","","","","0"
"1971","Ontario","2016A000235","Urban private dwellings","Number","223","units ","0","v52150002","7.16","1863528","","","","0"
"1971","Ontario","2016A000235","Rural private dwellings","Number","223","units ","0","v52150017","7.17","362040","","","","0"
"1971","Ontario","2016A000235","Private dwelling density","Number per square kilometre","229","units ","0","v32163852","7.14","2.5","","","","1"
"1971","Ontario","2016A000235","Population per private dwelling","Number","223","units ","0","v32163853","7.15","3.5","","","","1"
"1971","Ontario","2016A000235","Population per urban private dwelling","Number","223","units ","0","v52150032","7.18","3.4","","","","1"
"1971","Ontario","2016A000235","Population per rural private dwelling","Number","223","units ","0","v52150047","7.19","3.8","","","","1"
"1971","Manitoba","2016A000246","Total population","Number","223","units ","0","v32163854","8.1","988255","","","","0"
"1971","Manitoba","2016A000246","Urban population","Number","223","units ","0","v32163858","8.5","686450","","","","0"
"1971","Manitoba","2016A000246","Rural population","Number","223","units ","0","v32163862","8.9","301805","","","","0"
"1971","Manitoba","2016A000246","Total population density","Number per square kilometre","229","units ","0","v32163857","8.4","1.8","","","","1"
"1971","Manitoba","2016A000246","Urban population as a share of total population","Percent","239","units ","0","v32163861","8.8","69.5","","","","1"
"1971","Manitoba","2016A000246","Rural population as a share of total population","Percent","239","units ","0","v32163865","8.12","30.5","","","","1"
"1971","Manitoba","2016A000246","Total private dwellings","Number","223","units ","0","v32163866","8.13","288376","","","","0"
"1971","Manitoba","2016A000246","Urban private dwellings","Number","223","units ","0","v52150003","8.16","209454","","","","0"
"1971","Manitoba","2016A000246","Rural private dwellings","Number","223","units ","0","v52150018","8.17","78922","","","","0"
"1971","Manitoba","2016A000246","Private dwelling density","Number per square kilometre","229","units ","0","v32163867","8.14","0.5","","","","1"
"1971","Manitoba","2016A000246","Population per private dwelling","Number","223","units ","0","v32163868","8.15","3.4","","","","1"
"1971","Manitoba","2016A000246","Population per urban private dwelling","Number","223","units ","0","v52150033","8.18","3.3","","","","1"
"1971","Manitoba","2016A000246","Population per rural private dwelling","Number","223","units ","0","v52150048","8.19","3.8","","","","1"
"1971","Saskatchewan","2016A000247","Total population","Number","223","units ","0","v32163869","9.1","926225","","","","0"
"1971","Saskatchewan","2016A000247","Urban population","Number","223","units ","0","v32163873","9.5","490630","","","","0"
"1971","Saskatchewan","2016A000247","Rural population","Number","223","units ","0","v32163877","9.9","435595","","","","0"
"1971","Saskatchewan","2016A000247","Total population density","Number per square kilometre","229","units ","0","v32163872","9.4","1.6","","","","1"
"1971","Saskatchewan","2016A000247","Urban population as a share of total population","Percent","239","units ","0","v32163876","9.8","53.0","","","","1"
"1971","Saskatchewan","2016A000247","Rural population as a share of total population","Percent","239","units ","0","v32163880","9.12","47.0","","","","1"
"1971","Saskatchewan","2016A000247","Total private dwellings","Number","223","units ","0","v32163881","9.13","267575","","","","0"
"1971","Saskatchewan","2016A000247","Urban private dwellings","Number","223","units ","0","v52150004","9.16","148653","","","","0"
"1971","Saskatchewan","2016A000247","Rural private dwellings","Number","223","units ","0","v52150019","9.17","118922","","","","0"
"1971","Saskatchewan","2016A000247","Private dwelling density","Number per square kilometre","229","units ","0","v32163882","9.14","0.5","","","","1"
"1971","Saskatchewan","2016A000247","Population per private dwelling","Number","223","units ","0","v32163883","9.15","3.5","","","","1"
"1971","Saskatchewan","2016A000247","Population per urban private dwelling","Number","223","units ","0","v52150034","9.18","3.3","","","","1"
"1971","Saskatchewan","2016A000247","Population per rural private dwelling","Number","223","units ","0","v52150049","9.19","3.7","","","","1"
"1971","Alberta","2016A000248","Total population","Number","223","units ","0","v32163884","10.1","1627860","","","","0"
"1971","Alberta","2016A000248","Urban population","Number","223","units ","0","v32163888","10.5","1196245","","","","0"
"1971","Alberta","2016A000248","Rural population","Number","223","units ","0","v32163892","10.9","431615","","","","0"
"1971","Alberta","2016A000248","Total population density","Number per square kilometre","229","units ","0","v32163887","10.4","2.5","","","","1"
"1971","Alberta","2016A000248","Urban population as a share of total population","Percent","239","units ","0","v32163891","10.8","73.5","","","","1"
"1971","Alberta","2016A000248","Rural population as a share of total population","Percent","239","units ","0","v32163895","10.12","26.5","","","","1"
"1971","Alberta","2016A000248","Total private dwellings","Number","223","units ","0","v32163896","10.13","464636","","","","0"
"1971","Alberta","2016A000248","Urban private dwellings","Number","223","units ","0","v52150005","10.16","352929","","","","0"
"1971","Alberta","2016A000248","Rural private dwellings","Number","223","units ","0","v52150020","10.17","111707","","","","0"
"1971","Alberta","2016A000248","Private dwelling density","Number per square kilometre","229","units ","0","v32163897","10.14","0.7","","","","1"
"1971","Alberta","2016A000248","Population per private dwelling","Number","223","units ","0","v32163898","10.15","3.5","","","","1"
"1971","Alberta","2016A000248","Population per urban private dwelling","Number","223","units ","0","v52150035","10.18","3.4","","","","1"
"1971","Alberta","2016A000248","Population per rural private dwelling","Number","223","units ","0","v52150050","10.19","3.9","","","","1"
"1971","British Columbia","2016A000259","Total population","Number","223","units ","0","v32163899","11.1","2184620","","","","0"
"1971","British Columbia","2016A000259","Urban population","Number","223","units ","0","v32163903","11.5","1654400","","","","0"
"1971","British Columbia","2016A000259","Rural population","Number","223","units ","0","v32163907","11.9","530220","","","","0"
"1971","British Columbia","2016A000259","Total population density","Number per square kilometre","229","units ","0","v32163902","11.4","2.4","","","","1"
"1971","British Columbia","2016A000259","Urban population as a share of total population","Percent","239","units ","0","v32163906","11.8","75.7","","","","1"
"1971","British Columbia","2016A000259","Rural population as a share of total population","Percent","239","units ","0","v32163910","11.12","24.3","","","","1"
"1971","British Columbia","2016A000259","Total private dwellings","Number","223","units ","0","v32163911","11.13","667565","","","","0"
"1971","British Columbia","2016A000259","Urban private dwellings","Number","223","units ","0","v52150006","11.16","521028","","","","0"
"1971","British Columbia","2016A000259","Rural private dwellings","Number","223","units ","0","v52150021","11.17","146537","","","","0"
"1971","British Columbia","2016A000259","Private dwelling density","Number per square kilometre","229","units ","0","v32163912","11.14","0.7","","","","1"
"1971","British Columbia","2016A000259","Population per private dwelling","Number","223","units ","0","v32163913","11.15","3.3","","","","1"
"1971","British Columbia","2016A000259","Population per urban private dwelling","Number","223","units ","0","v52150036","11.18","3.2","","","","1"
"1971","British Columbia","2016A000259","Population per rural private dwelling","Number","223","units ","0","v52150051","11.19","3.6","","","","1"
"1971","Yukon","2016A000260","Total population","Number","223","units ","0","v32163914","12.1","18395","","","","0"
"1971","Yukon","2016A000260","Urban population","Number","223","units ","0","v32163918","12.5","11220","","","","0"
"1971","Yukon","2016A000260","Rural population","Number","223","units ","0","v32163922","12.9","7175","","","","0"
